Date_1,Date_2,Date_3,Predicted_Close_1,Predicted_Close_2,Predicted_Close_3,Actual_Close_1,Actual_Close_2,Actual_Close_3
2023-11-24,2023-11-27,2023-11-28,8.334795,8.117505,7.253128,7.51,7.47,7.4
2023-11-27,2023-11-28,2023-11-29,8.35601,8.159942,7.402004,7.47,7.4,7.19
2023-11-28,2023-11-29,2023-11-30,8.752183,8.578658,7.865582,7.4,7.19,7.21
2023-11-29,2023-11-30,2023-12-01,8.584123,8.423358,7.8442216,7.19,7.21,7.18
2023-11-30,2023-12-01,2023-12-04,8.505999,8.359571,7.8899007,7.21,7.18,7.27
2023-12-01,2023-12-04,2023-12-05,8.476814,8.348832,7.9648595,7.18,7.27,7.15
2023-12-04,2023-12-05,2023-12-06,8.479803,8.36353,8.06188,7.27,7.15,7.32
2023-12-05,2023-12-06,2023-12-07,8.501276,8.401117,8.168626,7.15,7.32,7.43
2023-12-06,2023-12-07,2023-12-08,7.0814753,7.0386295,7.2039366,7.32,7.43,7.75
2023-12-07,2023-12-08,2023-12-11,6.951149,6.9062138,7.0772943,7.43,7.75,7.49
2023-12-08,2023-12-11,2023-12-12,6.9247212,6.8818393,7.054166,7.75,7.49,7.38
2023-12-11,2023-12-12,2023-12-13,7.4421716,7.408371,7.5603566,7.49,7.38,7.68
2023-12-12,2023-12-13,2023-12-14,8.151845,8.120047,8.253837,7.38,7.68,7.27
2023-12-13,2023-12-14,2023-12-15,8.244212,8.213083,8.358326,7.68,7.27,7.43
2023-12-14,2023-12-15,2023-12-18,7.555076,7.5343285,7.694725,7.27,7.43,7.86
2023-12-15,2023-12-18,2023-12-19,7.2260785,7.2538886,7.4117246,7.43,7.86,7.98
2023-12-18,2023-12-19,2023-12-20,7.2969837,7.3100715,7.4457717,7.86,7.98,8.35
2023-12-19,2023-12-20,2023-12-21,7.2810125,7.286549,7.4218993,7.98,8.35,8.82
2023-12-20,2023-12-21,2023-12-22,7.361934,7.394307,7.5651345,8.35,8.82,7.92
2023-12-21,2023-12-22,2023-12-26,8.373036,8.381017,8.451107,8.82,7.92,8.29
2023-12-22,2023-12-26,2023-12-27,8.709294,8.731154,8.79517,7.92,8.29,8.42
2023-12-26,2023-12-27,2023-12-28,8.792903,8.797285,8.892862,8.29,8.42,9.33
2023-12-27,2023-12-28,2023-12-29,8.363103,8.401718,8.509555,8.42,9.33,9.1
2023-12-28,2023-12-29,2024-01-02,8.331407,8.363053,8.446577,9.33,9.1,9.43
2023-12-29,2024-01-02,2024-01-03,8.770256,8.782928,8.789092,9.1,9.43,9.07
2024-01-02,2024-01-03,2024-01-04,9.265167,9.276497,9.299415,9.43,9.07,8.42
2024-01-03,2024-01-04,2024-01-05,9.266704,9.316024,9.369266,9.07,8.42,8.5
2024-01-04,2024-01-05,2024-01-08,9.239072,9.284505,9.332886,8.42,8.5,8.27
2024-01-05,2024-01-08,2024-01-09,8.837392,8.846064,8.891574,8.5,8.27,8.06
2024-01-08,2024-01-09,2024-01-10,8.489602,8.513547,8.575845,8.27,8.06,7.93
2024-01-09,2024-01-10,2024-01-11,8.163044,8.200804,8.253523,8.06,7.93,7.56
2024-01-10,2024-01-11,2024-01-12,8.076336,8.113015,8.160121,7.93,7.56,7.41
2024-01-11,2024-01-12,2024-01-16,7.981201,8.0189,8.047785,7.56,7.41,7.4
2024-01-12,2024-01-16,2024-01-17,7.7717166,7.8313203,7.8754935,7.41,7.4,7.17
2024-01-16,2024-01-17,2024-01-18,7.5529943,7.620567,7.651517,7.4,7.17,6.55
2024-01-17,2024-01-18,2024-01-19,7.423709,7.497743,7.529834,7.17,6.55,6.3
2024-01-18,2024-01-19,2024-01-22,7.3639383,7.424159,7.4372377,6.55,6.3,6.28
2024-01-19,2024-01-22,2024-01-23,6.9754553,7.0601583,7.084986,6.3,6.28,6.06
2024-01-22,2024-01-23,2024-01-24,6.5217876,6.627211,6.6395106,6.28,6.06,5.98
2024-01-23,2024-01-24,2024-01-25,6.2543917,6.3585267,6.3682904,6.06,5.98,6.21
2024-01-24,2024-01-25,2024-01-26,5.750573,5.879317,5.893096,5.98,6.21,6.07
2024-01-25,2024-01-26,2024-01-29,5.6678305,5.7839856,5.7766137,6.21,6.07,6.04
2024-01-26,2024-01-29,2024-01-30,5.7919016,5.8986673,5.9092546,6.07,6.04,6.14
2024-01-29,2024-01-30,2024-01-31,6.0189147,6.1218195,6.1403866,6.04,6.14,6.14
2024-01-30,2024-01-31,2024-02-01,5.900196,6.0157123,6.0379915,6.14,6.14,5.79
2024-01-31,2024-02-01,2024-02-02,5.464637,5.5861297,5.5984635,6.14,5.79,5.62
2024-02-01,2024-02-02,2024-02-05,5.3164735,5.425855,5.4292164,5.79,5.62,5.71
2024-02-02,2024-02-05,2024-02-06,5.1776943,5.2956743,5.2983217,5.62,5.71,5.54
2024-02-05,2024-02-06,2024-02-07,5.0619006,5.182325,5.1862025,5.71,5.54,5.38
2024-02-06,2024-02-07,2024-02-08,4.967401,5.0788956,5.0833178,5.54,5.38,6.03
2024-02-07,2024-02-08,2024-02-09,4.6564593,4.7692375,4.771765,5.38,6.03,5.86
2024-02-08,2024-02-09,2024-02-12,4.467458,4.580603,4.5763617,6.03,5.86,5.82
2024-02-09,2024-02-12,2024-02-13,4.452768,4.561027,4.565949,5.86,5.82,5.93
2024-02-12,2024-02-13,2024-02-14,4.6972384,4.802836,4.8095183,5.82,5.93,6.08
2024-02-13,2024-02-14,2024-02-15,4.9941535,5.098393,5.112026,5.93,6.08,5.7
2024-02-14,2024-02-15,,4.942176,5.0587416,,6.08,5.7,
2024-02-15,,,4.8406744,,,5.7,,
