Date,RMSE
2023-09-19,2.015619999999984
2023-09-20,4.733380000000011
2023-09-21,5.469259999999991
2023-09-22,1.726709999999997
2023-09-25,0.18522000000001526
2023-09-26,0.870980000000003
2023-09-27,2.6776000000000124
2023-09-28,2.2616199999999935
2023-09-29,3.47851
2023-10-02,0.942450000000008
2023-10-03,0.6698199999999872
2023-10-04,0.4004500000000064
2023-10-05,2.147590000000008
2023-10-06,0.10271000000000186
2023-10-09,0.3130199999999945
2023-10-10,2.0263999999999953
2023-10-11,2.827770000000015
2023-10-12,0.47608999999999924
2023-10-13,1.79919000000001
2023-10-16,2.5126400000000046
2023-10-17,0.8556100000000129
2023-10-18,1.2764799999999923
2023-10-19,3.2510199999999827
2023-10-20,4.544479999999993
2023-10-23,2.459159999999997
2023-10-24,4.071259999999995
2023-10-25,0.30400000000000205
2023-10-26,2.0403300000000115
2023-10-27,0.5762200000000064
2023-10-30,4.06656000000001
2023-10-31,0.6399100000000146
2023-11-01,3.367359999999991
2023-11-02,2.993459999999999
2023-11-03,4.64403999999999
2023-11-06,4.811649999999986
2023-11-07,1.391930000000002
2023-11-08,6.232209999999981
2023-11-09,5.964409999999987
2023-11-10,4.469029999999975
2023-11-13,0.003309999999999036
2023-11-14,2.880240000000015
2023-11-15,1.9502299999999764
2023-11-16,0.44518999999999664
2023-11-17,1.0678499999999929
2023-11-20,1.606880000000018
2023-11-21,1.4164099999999848
2023-11-22,2.9114899999999864
2023-11-24,2.0106799999999794
2023-11-27,2.595100000000002
2023-11-28,1.1095599999999877
2023-11-29,0.674049999999994
2023-11-30,1.2176000000000045
2023-12-01,0.10464999999999236
2023-12-04,0.4812999999999761
2023-12-05,1.45732000000001
2023-12-06,0.6341199999999958
2023-12-07,3.5944199999999853
2023-12-08,2.0250800000000027
2023-12-11,3.8569999999999993
2023-12-12,4.997250000000008
2023-12-13,1.923180000000002
2023-12-14,3.3981700000000217
2023-12-15,6.600660000000005
2023-12-18,6.7932300000000225
2023-12-19,6.132409999999993
2023-12-20,4.578659999999985
2023-12-21,5.608380000000011
2023-12-22,4.203430000000026
2023-12-26,3.2202699999999993
2023-12-27,1.9228999999999985
2023-12-28,1.5258800000000008
2023-12-29,1.5578800000000115
2024-01-02,2.0939300000000003
2024-01-03,0.6895900000000097
2024-01-04,6.46284
2024-01-05,2.5426300000000026
2024-01-08,3.7298800000000085
2024-01-09,2.7275300000000016
2024-01-10,4.202040000000011
2024-01-11,0.7151600000000258
2024-01-12,0.3137700000000052
2024-01-16,1.8285199999999975
2024-01-17,1.432940000000002
2024-01-18,4.951529999999991
2024-01-19,1.2827800000000025
2024-01-22,4.600079999999991
2024-01-23,3.4292800000000057
2024-01-24,3.7527999999999793
2024-01-25,3.154979999999995
2024-01-26,2.1420599999999865
2024-01-29,1.682709999999986
2024-01-30,0.28854999999998654
2024-01-31,0.039859999999976026
2024-02-01,3.2695600000000127
2024-02-02,4.464200000000005
2024-02-05,0.27250000000000796
2024-02-06,1.8743800000000022
2024-02-07,3.488490000000013
2024-02-08,0.4154800000000023
